Category|Subcategory|Delta|Atomic weight
Standard atomic weight||[-35.3;61.3]|[10.806;10.821]

Marine Sources|Sea water|[38.4;40.4]|[10.81766;10.81795]
Marine Sources|Evaporated sea water|[36.5;58.5]|[10.81737;10.82061]
Marine Sources|Hydrothermal fluids|[30;36.8]|[10.81639;10.81742]
Marine Sources|Evaporite minerals |[18.2;31.7]|[10.8146;10.81665]
Marine Sources|Carbonates (skeletal parts and formations)|[4;32.2]|[10.81239;10.81673]
Non-marine sources|Rain water|[0.8;35]|[10.81188;10.81715]
Non-marine sources|Brines, surface and ground waters|[-21.3;59.2]|[10.80832;10.82071]
Non-marine sources|Hydrothermal fluids |[-9.3;29.1]|[10.81027;10.81626]
Non-marine sources|Evaporite minerals|[-31.3;7.3]|[10.80667;10.8129]
Igneous rocks||[-17;-1.7]|[10.80903;10.81149]
Metamorphic rocks||[-34.2;22]|[10.80619;10.81518]
Sediments||[-17;26.2]|[10.80903;10.81582]
Organic boron||[-12;29.3]|[10.80984;10.81629]
