Category|Subcategory|Delta|Atomic weight
Standard atomic weight||[-135.9;46.2]|[12.0096;12.0116]


Carbonate and bicarbonate|Sea water|[-0.8;2.2]|[12.011085;12.011118]
Carbonate and bicarbonate|Other water|[-37.1;37.5]|[12.010686;12.011505]
Carbonate and bicarbonate|Metamorphic and igneous rock|[-11.9;24.8]|[12.010963;12.011365]
Carbonate and bicarbonate|Typical marine carbonate rock|[-6;6]|[12.011028;12.011159]
Carbonate and bicarbonate|Other carbonate|[-64.5;21.1]|[12.010385;12.011325]
Carbon dioxide|Air|[-8.2;-6.7]|[12.011004;12.01102]
Carbon dioxide|Soil gas |[-31;6.9]|[12.010753;12.011169]
Carbon dioxide|Volcanic gas |[-37;23]|[12.010687;12.011346]
Carbon dioxide|Oil, gas, coal, and landfills |[-37.6;28]|[12.010681;12.011401]
Carbon dioxide|Commercial tank gas and referencematerials |[-54;-28.76]|[12.010501;12.010778]
Oxalates|CaC2O4·xH20 (whewellite)|[-31.7;33.7]|[12.010746;12.011463]
Carbon monoxide|Air (CO)|[-31.5;-22]|[12.010748;12.010852]
Organic carbon|Land Plants (C3 metabolic process)|[-35;-21]|[12.010709;12.010863]
Organic carbon|Land plants (C4 metabolic process)|[-16;-9]|[12.010918;12.010995]
Organic carbon|Land Plants (CAM metabolic process)|[-34;-10]|[12.01072;12.010984]
Organic carbon|Marine Organisms |[-74.3;-2]|[12.010278;12.011072]
Organic carbon|Marine sediments and compounds|[-130.3;7]|[12.009662;12.01117]
Organic carbon|Coal|[-30;-19]|[12.010764;12.010885]
Organic carbon|Crude Oil|[-44;-16.8]|[12.010611;12.010909]
Organic carbon|Ethanol (naturally occurring)|[-32;-10.3]|[12.010742;12.01098]
Elemental carbon|Graphite|[-41;6.2]|[12.010643;12.011162]
Elemental carbon|Diamonds|[-34.4;5]|[12.010716;12.011148]
Ethane|Hydrocarbon gas|[-55.6;6.6]|[12.010483;12.011166]
Methane|Air |[-50.6;-39]|[12.010538;12.010665]
Methane|Marine and other sources |[-109;12.7]|[12.009896;12.011233]
Methane|Fresh water sources |[-86;-50]|[12.010149;12.010545]
Methane|Commercial tank gas|[-51;-38]|[12.010534;12.010676]
