Category|Subcategory|Delta|Atomic weight
Standard atomic weight||[-17.81;12.15]|[35.446;35.457]


Chlorides|Sea water|[-0.15;0.94]|[35.4525;35.4529]
Chlorides|Ground, surface, pore and oil formation waterrs |[-7.7;2.94]|[35.4497;35.4536]
Chlorides|Hydrothermal fluid-inclusion water|[-1.1;0.8]|[35.4522;35.4529]
Chlorides|NaCl (halite)|[-0.2;0.7]|[35.4525;35.4528]
Chlorides|KCl (sylvite)|[-0.5;0.3]|[35.4524;35.4527]
Chlorides|Rock or sediments |[0.2;7.5]|[35.4526;35.4553]
Organic solvents|CH3Cl|[-6;4]|[35.4504;35.454]
Organic solvents|Other (trichloroethylene and others)|[-2.5;4.4]|[35.4516;35.4542]
