Category|Subcategory|Delta|Atomic weight
Standard atomic weight||[-904.5;818.9]|[1.00784;1.00811]

Water|Sea water (deep)|[-2.5;3.2]|[1.0079814;1.0079823]
Water|Other (naturally occurring)|[-495;129]|[1.0079042;1.008002]
Water|Fruit juice and wint|[-43;47]|[1.007975;1.0079891]
Silicates|Pectolite|[-429;-281]|[1.0079145;1.0079377]
Silicates|Other|[-208;5]|[1.0079492;1.0079825]
Hydroxides|Aluminum and iron|[-220;-8]|[1.0079473;1.0079805]
Organic hydrogen|Non-marine organisms|[-237;66]|[1.0079446;1.0079921]
Organic hydrogen|Marine organisms|[-166;-13]|[1.0079557;1.0079797]
Organic hydrogen|Organic sediments|[-103;-59]|[1.0079656;1.0079725]
Organic hydrogen|Coal|[-162;-65]|[1.0079564;1.0079716]
Organic hydrogen|Crude oil|[-163;-80]|[1.0079562;1.0079692]
Organic hydrogen|Ethanol (naturally occurring)|[-272;-200]|[1.0079391;1.0079504]
Organic hydrogen|Reagents (synthetic)|[-140;802]|[1.0079598;1.0081074]
Methane|Atmospheric|[-232;-71]|[1.0079454;1.0079706]
Methane|Other (naturally occurring)|[-531;-133]|[1.0078985;1.0079609]
Hydrogen Gas|Air|[-136;180]|[1.0079604;1.00801]
Hydrogen Gas|Other (naturally occurring)|[-836;-250]|[1.0078507;1.0079426]
Hydrogen Gas|Commercial tank gas|[-813;-56]|[1.0078543;1.007973]
Hydrogen Gas|Automobile exhaust and industrial contamination|[-690;-147]|[1.0078736;1.0079587]
