Category|Subcategory|Delta|Atomic weight
Standard atomic weight||[-28.1;3244.3]|[6.938;6.997]

Marine Sources|Sea water |[32.4;33.9]|[6.94223;6.94233]
Marine Sources|Hydrothermal fluids|[2.6;11]|[6.94021;6.94079]
Marine Sources|Foraminifera and carbonicsediments|[-10;42]|[6.93931;6.94286]
Marine Sources|Brines and pore water|[1;56.3]|[6.94009;6.94378]
Non-Marine Sources|Surface Water |[15.5;34.4]|[6.9411;6.94236]
Non-Marine Sources|Ground and thermal water|[-19;10]|[6.93867;6.94072]
Non-Marine Sources|Contaminated ground water|[10;354]|[6.94072;6.95875]
Lithium in rocks|Basalt (unaltered)|[3.4;6.8]|[6.94026;6.9405]
Lithium in rocks|Basalt (altered)|[-2.1;13.5]|[6.93988;6.94096]
Lithium in rocks|Rhyolite|[-3.5;-3.5]|[6.93978;6.93978]
Lithium in rocks|Granite|[0;11.2]|[6.94002;6.9408]
Lithium in rocks|Limestone|[-3.5;33.5]|[6.93978;6.9423]
Phosphates|LiAlFPO4 (amblygonite)|[-13;7.4]|[6.9391;6.94054]
Silicates|LiAl(SiO3)2 (spodumene)|[-12.6;11.8]|[6.93913;6.94084]
Silicates|KLiAl2Si3O10 (lepidolite)|[-6.6;7.2]|[6.93956;6.94053]
Reagents|6Li depleted compounds|[434;3013]|[6.96177;6.99593]
Reagents|Other reagents|[-11;23]|[6.93924;6.9416]
