Category|Subcategory|Delta|Atomic weight
Standard atomic weight||[-81.34;152.3]|[14.00643;14.00728]

Nitrate|Air (aerosols and precipitation) |[-16;18]|[14.006668;14.006792]
Nitrate|Sea water and estuaries |[-6;20]|[14.006704;14.006799]
Nitrate|Ground water and ice |[-7;150]|[14.006701;14.007272]
Nitrate|Soil extracts|[-23;46]|[14.006642;14.006894]
Nitrate|Desert salt deposits|[-5;15]|[14.006708;14.006781]
Nitrate|Synthetic reagents and fertilizers|[-23;15]|[14.006642;14.006781]
Nitrite|Ground waters|[-30;55]|[14.006617;14.006926]
Nitrite|Synthetic reagents |[-80;4]|[14.006435;14.006741]
Nitrogen oxide gases|N2O in air (troposphere)|[0;10]|[14.006726;14.006763]
Nitrogen oxide gases|N2O in sea water|[3;38]|[14.006737;14.006864]
Nitrogen oxide gases|N2O in ground water|[-55;53]|[14.006526;14.006919]
Nitrogen oxide gases|NOx in air|[-15;5]|[14.006672;14.006744]

Nitrogen gas|Air|[0;0]|[14.006726;14.006726]
Nitrogen gas|Ground waters|[-3;5]|[14.006715;14.006744]
Nitrogen gas|Volcanic gases and hot springs|[-10;16]|[14.00669;14.006784]
Nitrogen gas|Sedimentary basins|[-49;46]|[14.006548;14.006894]
Nitrogen gas|Commercial tank gas|[-5;3]|[14.006708;14.006737]
Organic nitrogen|Plants and animals|[-49;31]|[14.006548;14.006839]
Organic nitrogen|Marine particulate organic matter|[-3;46]|[14.006715;14.006894]
Organic nitrogen|Bituminuous sediments, peat, and coal|[-3;13]|[14.006715;14.006773]
Organic nitrogen|Crude Oil |[1;7]|[14.00673;14.006752]
Organic nitrogen|Soils|[-29;38]|[14.006621;14.006864]
Organic nitrogen|Synthetic reagents and fertilizers|[-3;6]|[14.006715;14.006748]
Organic nitrogen|Biological fertilizers|[3;15]|[14.006737;14.006781]
Nitrogen in rocks|Metamorphic rocks|[1;17]|[14.00673;14.006788]
Nitrogen in rocks|Igneous rocks|[-36;31]|[14.006595;14.006839]
Nitrogen in rocks|Diamonds|[-37;14]|[14.006591;14.006777]
Ammonium|Air (ammonia gas)|[-15;28]|[14.006672;14.006828]
Ammonium|Air (aerosols and precipitation)|[-14;14]|[14.006675;14.006777]
Ammonium|Sea water and estuaries |[2;42]|[14.006733;14.006879]
Ammonium|Soil extracts  |[-7;50]|[14.006701;14.006908]
Ammonium|Volcanic gas condensates |[-31;13]|[14.006613;14.006773]
Ammonium|Synthetic reagents and fertilizers  |[-5;11]|[14.006708;14.006766]
