Category|Subcategory|Delta|Atomic weight
Standard atomic weight||[-65.5;111.3]|[15.9990291;15.99977]

Oxygen gas|Air|[23.8;23.8]|[15.9994042;15.9994042]
Water|Sea Water|[-1;0.6]|[15.9993003;15.9993072]
Water|Continental water|[-62.8;31.3]|[15.9990406;15.9994359]
Water|Fruit juice and wine|[-4.4;15.3]|[15.999286;15.9993688]
Carbon monoxide|Air |[-6.9;1.7]|[15.9992755;15.9993115]
Carbon monoxide|Commercial tank gas†|[-65;7.6]|[15.9990314;15.9993364]
Carbon dioxide|Air |[40;53]|[15.9994724;15.9995271]
Carbon dioxide|Commercial tank gas|[3.9;22.2]|[15.9993211;15.9993977]
Carbonates|Typical marine carbonate|[26;34]|[15.9994137;15.9994473]
Carbonates|Igneous (carbonatite)|[-1.3;7.7]|[15.999299;15.9993369]
Carbonates|Other carbonate|[-20.5;36.4]|[15.9992184;15.9994573]
Nitrogen oxides|N20 (air and water)|[20;109]|[15.9993887;15.9997619]
Nitrogen oxides|Nitrate (air and water)|[-2.5;76]|[15.9992942;15.9996234]
Oxides|Al and Fe oxides|[-15.5;16]|[15.9992394;15.9993717]
Oxides|Chert|[9.4;45]|[15.999344;15.9994934]
Phosphates |Skeletal parts (phosphates)|[6;26.7]|[15.9993297;15.9994168]
Phosphates |Phosphorite rocks|[8.6;25.1]|[15.9993406;15.9994101]
Silicates||[-16.2;34.9]|[15.9992366;15.999451]
Sulfates|Air |[-19;14.1]|[15.9992248;15.9993639]
Sulfates|Sea water |[9.3;9.6]|[15.9993436;15.999345]
Sulfates|Other water |[-19.8;23.2]|[15.9992215;15.9994019]
Sulfates|Minerals |[-10;31.2]|[15.9992625;15.9994355]
Plants and animals|Cellulose, lipids, and tissue|[-4.3;37]|[15.9992864;15.9994599]
