Category|Subcategory|Delta|Atomic weight
Standard atomic weight||[-6.4;6.2]|[28.085;28.086]

Igneous rocks|Igneous Rocks|[-1;0.4]|[28.08543;28.08554]
Metamorphic rocks||[-1.1;1.1]|[28.08542;28.0856]
Vein quartz and silicified rocks||[-1.5;1.1]|[28.08539;28.0856]
Sedimentary rocks|Quartz sandstones|[-5.7;0.2]|[28.08506;28.08553]
Sedimentary rocks|Clay minerals|[-2.6;1.5]|[28.0853;28.08563]
Sedimentary rocks|Sinter|[-3.4;0.2]|[28.08524;28.08553]
Sedimentary rocks|Sea-floor hydrothermal siliceous precipitates|[-3.1;0]|[28.08526;28.08551]
Sedimentary rocks|other siliceous rocks|[-0.8;3.4]|[28.08545;28.08578]
Dissolved silica||[-0.4;3.4]|[28.08548;28.08578]
Biogenic silica||[-3.7;6.1]|[28.08522;28.08599]
Elemental silicon||[-1.3;0.5]|[28.08541;28.08555]
